test_id,test_no,vehicle_id,impact_family,vehicle_role,damage_face,profile_axis,crush_axis,point_index,dpd_value_mm,s_local_mm,s_vehicle_mm,s_norm,lencnt_mm,damdst_mm,quality_tier,source
28,7357,39,frontal_barrier,subject_vehicle,front,Y,X,3,587.0,-181.39999999999998,-181.39999999999998,-0.09999999999999999,1814.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
28,7357,39,frontal_barrier,subject_vehicle,front,Y,X,4,594.0,181.4000000000001,181.4000000000001,0.10000000000000005,1814.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
28,7357,39,frontal_barrier,subject_vehicle,front,Y,X,5,531.0,544.2,544.2,0.30000000000000004,1814.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
28,7357,39,frontal_barrier,subject_vehicle,front,Y,X,6,335.0,907.0,907.0,0.5,1814.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
29,7358,40,frontal_barrier,subject_vehicle,front,Y,X,1,338.0,-594.0,-594.0,-0.5,1188.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
29,7358,40,frontal_barrier,subject_vehicle,front,Y,X,2,369.0,-356.4,-356.4,-0.3,1188.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
29,7358,40,frontal_barrier,subject_vehicle,front,Y,X,3,378.0,-118.80000000000001,-118.80000000000001,-0.1,1188.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
29,7358,40,frontal_barrier,subject_vehicle,front,Y,X,4,380.0,118.79999999999995,118.79999999999995,0.09999999999999996,1188.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
29,7358,40,frontal_barrier,subject_vehicle,front,Y,X,5,375.0,356.4,356.4,0.3,1188.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
29,7358,40,frontal_barrier,subject_vehicle,front,Y,X,6,334.0,594.0,594.0,0.5,1188.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
